Richtige Antworten,Schritt1=A,Schritt2=B,Schritt3=B,Schritt4=A
"Probandenindex","Alter","Geschlecht","Schritt 1","Schritt 2","Schritt 3","Schritt 4","Vorhersagbarkeit"
"59","21","männlich","A","B","B","A","ja"
"60","22","männlich","A","A","B","A","ja"
"61","22","männlich","A","A","B","A","ja"
"62","22","männlich","A","A","B","A","ja"
"63","18","männlich","A","A","B","A","ja"
"64","20","männlich","B","A","A","B","nein"
"65","18","weiblich","A","A","A","B","ja"
"66","18","männlich","A","A","B","A","ja"
"67","55","weiblich","A","B","B","B","nein"
"68","21","weiblich","A","B","A","B","ja"
"69","26","weiblich","A","B","B","A","nein"
"70","22","männlich","A","B","B","B","ja"
"71","18","männlich","A","B","B","B","nein"
"72","21","männlich","A","A","A","B","ja"
"73","28","männlich","A","B","B","A","nein"
"74","20","männlich","A","B","B","A","ja"
"75","23","männlich","A","B","B","B","nein"
"76","23","männlich","A","B","B","B","nein"
"77","24","weiblich","A","A","A","A","nein"
"78","19","männlich","A","A","B","A","ja"
"79","18","männlich","A","B","B","A","nein"
"80","24","männlich","B","A","A","B","nein"
"81","18","männlich","A","B","B","B","ja"
"82","24","männlich","A","B","B","B","nein"
"83","24","männlich","A","B","B","A","ja"
"84","18","männlich","A","B","B","B","ja"
"85","23","männlich","A","B","B","B","nein"
"86","52","männlich","A","A","B","B","ja"
"87","21","männlich","A","A","B","A","nein"
"88","26","männlich","A","B","B","A","ja"
"89","23","männlich","A","A","B","B","nein"
"90","22","männlich","A","B","B","A","ja"
"91","21","männlich","A","B","A","A","nein"
"92","24","männlich","A","B","A","B","nein"
"93","25","männlich","A","B","A","A","nein"
"94","24","weiblich","A","B","B","A","nein"
"95","18","männlich","A","B","B","A","ja"
"96","21","weiblich","A","B","B","B","ja"
"97","19","männlich","A","B","B","A","ja"
"98","24","männlich","A","B","B","B","ja"
"99","22","weiblich","A","A","B","A","ja"
"100","20","männlich","A","B","B","B","ja"
"101","20","männlich","A","B","B","B","ja"
"102","46","weiblich","A","B","B","A","ja"
"103","23","weiblich","A","A","B","A","nein"
"104","20","männlich","A","B","A","A","ja"
"105","25","weiblich","A","B","A","B","nein"
"106","21","männlich","A","A","A","A","nein"
"107","18","männlich","A","B","A","A","ja"
"108","24","männlich","A","B","B","B","ja"
"109","19","weiblich","A","B","A","B","ja"
"110","24","weiblich","A","B","B","A","ja"
"111","18","männlich","A","B","A","B","ja"
"112","23","weiblich","A","B","A","A","nein"
"113","21","männlich","A","B","B","A","ja"
"114","48","männlich","A","B","B","B","nein"
"115","28","männlich","A","B","A","A","nein"
"116","40","männlich","A","B","B","A","nein"
"117","24","männlich","A","B","A","B","ja"
"118","23","männlich","A","A","B","B","ja"
"119","24","männlich","A","B","A","A","ja"
"120","39","männlich","A","B","B","A","nein"
"121","20","männlich","A","B","B","A","nein"
"122","27","männlich","A","B","B","B","ja"
"123","26","männlich","A","A","B","A","nein"
"124","40","männlich","A","B","B","A","nein"
"125","21","männlich","A","B","B","A","ja"
"126","39","männlich","A","B","A","A","ja"
"127","20","männlich","A","B","B","A","ja"
"128","22","männlich","A","B","A","A","nein"
"129","28","weiblich","A","B","A","A","ja"
"130","18","männlich","A","B","B","A","ja"
"131","29","männlich","A","B","B","A","ja"
"132","47","männlich","A","B","B","B","ja"
"133","21","männlich","A","B","B","A","ja"
"134","22","männlich","A","A","B","B","ja"
"135","19","männlich","A","B","A","A","ja"
"136","19","männlich","A","B","A","A","ja"
"137","23","männlich","A","B","B","A","ja"
"138","23","männlich","A","B","B","A","ja"
